69047,Paulo Roberto,316,4
69048,Mazola,316,5
69049,Leandro Amaro,315,3
69051,Danilo Fernandes,264,1
69088,Victorino,275,3
69090,Matías Rodríguez,284,2
69138,Pablo,316,5
69141,Ricardo Bueno,316,5
69153,Clemente Rodríguez,276,2
69155,Iberbia,294,2
69177,Léo,262,2
69180,Busatto,284,1
69183,Lee,282,1
69186,Branquinho,265,4
69209,Diego Macedo,265,2
69219,Otamendi,282,3
69232,Bolatti,263,4
69240,Dátolo,282,4
69268,Víctor Cáceres,262,4
69292,Eguren,275,4
69304,Lodeiro,264,4
69308,Álvaro Pereira,276,2
69325,Aránguiz,285,4
69329,Cereceda,316,2
69703,Diego Maurício,292,5
69782,Dener Assunção,294,2
70010,Spessato,284,2
70045,Vinicius Simon,277,3
70046,Victor Ferraz,277,2
70054,Marcos Paulo,294,4
70055,Geraldo,294,5
70058,Tiago Real,290,4
70106,Mouche,275,5
70111,Guilherme Mattis,266,3
70116,Fellipe Bastos,284,4
70132,Alan Santos,277,4
70133,Paulo Henrique,275,2
70216,Gustavo,287,1
70218,Ernesto Farías,283,5
70221,Bruno Uvini,277,3
70225,Luís Aguiar,287,4
70311,Fran Mérida,293,4
70317,Eron,282,2
70360,Eduardo Sasha,285,5
70581,Fillipe Soutto,282,4
70759,Martinuccio,294,5
70874,Rhayner,265,5
70914,Raphael Luz,290,4
70915,Luis Felipe,288,2
70916,Diogo Goiano,294,2
70924,Matheus Carvalho,266,5
70925,Wescley,315,4
70928,William Henrique,287,5
70929,Negueba,262,5
70934,Jackson,290,3
70944,Bruno Henrique,264,4
70951,Fabio,275,1
70986,Léo Cittadini,277,4
70992,Juliano,290,4
71032,Lucas Zen,287,4
71037,Clayton Sales,290,2
71038,Pedro Henrique,290,3
71039,Leandro,290,4
71041,Assuério,290,5
71042,Augusto,292,4
71055,Pato Rodríguez,277,4
71093,Baraka,294,4
71100,Márcio Araújo,265,6
71102,Omar,265,1
71113,Felipe ,316,4
71117,Vander,287,4
71122,Matheus,263,3
71123,Thiago Mendes,290,4
71146,Léo Veloso,290,2
71507,Edson Silva,276,3
71560,Luis Ramírez,263,4
71571,Fernando,287,1
71572,Gabriel,284,3
71575,Danilo Tarracha,287,2
71581,Léo Costa,287,4
71593,Henrique Mattos,292,3
71602,João Paulo,262,2
71618,Anderson Conceição,265,3
71631,Weverton,293,1
71636,Guilherme,264,4
71668,Anderson Carvalho,277,4
71724,Agenor,285,1
71742,Hiroshi,316,4
71778,Bady,293,4
71799,Silvinho,288,5
71892,Wellington Silva,285,2
71947,Guilherme,263,2
71995,Hugo,265,5
72018,Tiago Volpi,316,1
72023,Sueliton,293,2
72039,Ferron,292,3
72046,Rômulo,287,5
72071,Amaral,262,4
72079,Bruno Cortez,288,2
72084,França,316,4
72097,Giovanni,288,2
72099,Wiliam Barbio,265,5
72133,Ednei,287,3
72159,Serginho,275,4
72167,Mazinho,275,4
72168,João Paulo,290,4
72281,Artur,316,2
72290,Jailson,275,1
72334,Ayrton,287,2
72375,Weldinho,275,2
72376,Cléber,264,3
72386,Hernane,262,5
72389,Mike,292,5
72488,Follmann ,284,1
72491,Bressan,284,3
72495,Moisés,290,2
72504,Denilson,316,5
72603,William Menezes,294,1
72742,Wagner Lopes,288,6
72745,Escudero,287,4
72768,Muralha,262,4
72893,Eduardo Da Silva,262,5
72943,Luís Cáceres,287,4
73009,Crislan,293,5
73025,Geovane,277,5
73027,Potita,265,5
73051,Robert Flores,292,4
73055,Bruno Fornaroli,316,5
73085,Leandro,275,5
73213,Miguel,275,5
73315,Jorginho,315,6
73317,Argel Fucks,316,6
73336,Rafael Martins,294,1
73338,Djair,294,4
73353,Eduardo,266,4
73359,Roniery,265,2
73375,Felipe,264,3
73383,Rafael Costa,288,4
73417,Lima,290,2
73423,Rodrigo Defendi,287,3
73445,Denner,294,4
73446,Éderson,293,5
73454,Cidinho,263,4
73465,Luccas Claro,294,3
73481,Gilmar Dal Pozzo,288,6
73511,Dudu Figueiredo,294,4
73515,Gabriel,262,4
73516,Rafael,265,5
73517,Douglas Pires,265,1
73527,Willian Rocha,293,2
